"","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State","School"
"81",513,313,199,119,4128,162,96,40,4641,475,295,159,62.1,63.58,59.26,6.36,3.92,"Public",25,509,3.77,162,24.69,"No",38.7914230019493,2.32558139534884,16.6803118908382,"KY","University of Louisville"
"82",239,210,109,90,1483,40,14,7,1722,250,123,97,49.2,51.9,35,7.14,2.7,"Public",7,505,3.8,103,6.8,"No",45.6066945606695,0.944032366824005,48.3105200239091,"NM","University of New Mexico"
"84",384,70,44,22,5527,1024,552,161,5911,1094,596,183,54.5,62.86,53.91,10.08,18.53,"Private",88,514,3.91,183,87.98,"Yes",11.4583333333333,9.98733490139316,1.14728638285024,"MO","Saint Louis University"
"85",560,324,154,109,2509,82,40,19,3069,406,194,128,47.8,47.53,48.78,6.32,3.27,"Public",15,509,3.86,112,16.96,"No",27.5,1.59426066161817,17.249375,"MO","Missouri-Columbia"
"86",212,112,74,61,4841,499,91,51,5053,611,165,112,27,66.07,18.24,3.27,10.31,"Public",46,509,3.88,112,45.54,"Yes",34.9056603773585,1.87977690559802,18.5690441633838,"WV","West Virginia University"
"87",962,416,233,74,10670,1209,589,193,11632,1625,822,267,50.6,56.01,48.72,7.07,11.33,"Private",72,512,3.75,256,75.39,"Yes",24.2203742203742,5.52014995313964,4.38762976114419,"PA","Drexel University"
"88",1653,370,192,135,4742,122,71,55,6395,492,263,190,53.5,51.89,58.2,4.11,2.57,"Public",29,509,3.76,190,28.95,"No",11.6152450090744,1.49725854070013,7.75767490606068,"MI","Michigan State University"
"89",2066,543,335,141,2305,177,78,19,4371,720,413,160,57.4,61.69,44.07,9.45,7.68,"Public",12,513,3.77,170,25,"No",16.21490803485,3.38394793926247,4.7917132077345,"NY","SUNY Upstate"
"96",3652,277,125,77,141,4,3,1,3793,281,128,78,45.6,45.13,75,3.37,6.625,"Public",1,508,3.59,70,1.43,"No",3.42278203723987,2.12765957446809,1.60870755750274,"CA","UC Riverside"
"97",2695,254,144,118,4453,18,5,2,7148,272,149,120,54.8,56.69,51.48,2.08,0.4,"Public",2,508,3.76,120,1.67,"No",5.34322820037106,0.112283853581855,47.5867903525046,"FL","Florida State University"
"98",2791,306,190,80,1887,155,116,40,4678,461,306,120,66.4,62.09,74.84,6.54,8.21,"Public",33,514,3.88,120,33.33,"Yes",6.80759584378359,6.14732379438262,1.10740804803618,"FL","University of Central Florida"
"99",1071,347,161,81,5779,452,192,70,6850,799,353,151,44.2,46.4,42.48,5.15,7.82,"Public",46,513,3.71,151,46.36,"Yes",15.0326797385621,3.32237411316837,4.52468001089325,"VA","Eastern Virginia"
