"","School","Apps.IS","IS.II","IS.Accepted","IS.enrolled","Apps.OOS","OOS.II","OOS.Accepted","OOS.enrolled","Total.apps","TOTAL.II","total.accepted","Total.enrolled","post.II...A","IS...post.II.A","OOS...post.II.A","A...rate","OOS.II.OOS.applicants","Public.Private","OOS.IS.matriculants","Median.MCAT","Median.GPA","class.size","X..of.students.OOS","apply.OOS.to.public.state.school.","IS_A","OOS_A","IS_A.OOS_A","State"
"36","University of Alabama",537,279,184,157,4076,206,100,29,4613,485,284,186,58.6,65.95,48.54,6.16,5.05,"Public",16,510,3.86,202,14.36,"No",34.2644320297952,2.45338567222767,13.9661824953445,"AL"
"37","University of Cincinnati",1171,251,157,85,3944,370,233,97,5115,621,390,182,62.8,62.55,62.97,7.62,9.38,"Public",53,517,3.84,182,53.3,NA,13.4073441502989,5.90770791075051,2.26946632312355,"OH"
"38","University of Florida",2430,317,182,112,2215,78,52,23,4645,395,234,135,59.2,57.41,66.67,5.04,3.52,"Public",17,515,3.9,135,17.04,"No",7.48971193415638,2.34762979683973,3.190329218107,"FL"
"39","University of Minnesota",1397,484,231,192,4856,444,121,49,6253,928,352,241,37.9,47.73,27.25,5.63,9.14,"Public",20,513,3.81,240,20.42,NA,16.5354330708661,2.49176276771005,6.63603826381207,"MN"
"40","University of Utah",567,365,122,89,2840,224,71,36,3407,589,193,125,32.8,33.42,31.7,5.66,7.89,"Public",29,513,3.82,125,28.8,NA,21.5167548500882,2.5,8.60670194003527,"UT"
"41","University of Wisconsin",712,351,162,131,4367,211,132,40,5079,562,294,171,52.3,46.15,62.56,5.79,4.83,"Public",23,513,3.8,171,23.39,NA,22.752808988764,3.02267002518892,7.52738764044944,"WI"
"42","Albert Einstein",1645,354,141,92,6432,584,216,91,8077,938,357,183,38.1,39.83,36.99,4.42,9.08,"Private",50,515,3.81,183,49.73,"Yes",8.57142857142857,3.35820895522388,2.55238095238095,"NY"
"43","Indiana University",682,466,346,291,5306,570,238,74,5988,1036,584,365,56.4,74.25,41.75,9.75,10.74,"Public",20,512,3.84,360,20.56,"Yes",50.733137829912,4.48548812664908,11.3105054338451,"IN"
"44","UC Irvine",4521,484,205,94,1637,74,30,10,6158,558,235,104,42.1,42.36,40.54,3.82,4.52,"Public",10,516,3.85,104,9.62,"No",4.53439504534395,1.83262064752596,2.47426822974268,"CA"
"45","University of Iowa",333,242,125,104,3691,481,159,48,4024,723,284,152,39.3,51.65,33.06,7.06,13.03,"Public",32,515,3.86,152,31.58,"Yes",37.5375375375375,4.30777567054999,8.71390258182711,"IA"
