"School","USNWR Ranking Research","USNWR Primary Care Ranking","Apps IS","IS II","IS Accepted","IS enrolled","Apps OOS","OOS II","OOS Accepted","OOS enrolled","Total apps","TOTAL II","total accepted","Total enrolled","post II % A","IS % post II-A","OOS % post II-A","A % rate","Step 1","Step 1 % pass","step 2","step 2 pass","OOS II/OOS applicants","Public/Private","OOS/IS matriculants","Median MCAT","Median GPA","# international students matriculated","notes","class size","% of students OOS","apply OOS to public state school?","","","",""
"Tufts","55","51","945","167","104","54","11069","654","398","146","12014","821","502","200","61.1","62.28","60.86","4.18%","235","98%","246","99%","5.91","Private - MA","73%","515","3.78"," "," ","200","73.00%"," "," "," "," "," "
"George Washington Univ","60","78","0","0","0","0","11772","1149","329","178","11772","1149","329","178","28.6"," ","28.63","2.79%","226","95%","243","98%"," ","Private - DC","100%","513","3.78"," "," ","180","98.89%"," "," "," "," "," "
"Temple (LKSOM)","61","84","978","349","157","101","7390","620","290","117","8368","969","447","218","46.1","44.99","46.77","5.34%","232","96%","246","99%","8.39","Private - PA","54%","513","3.77"," "," ","200","58.50%"," "," "," "," "," "
"U Connecticut","61","44","493","192","139","88","3236","126","99","22","3729","318","238","110","74.8","72.40","78.57","6.38%","232","96%","247","97%","3.89","Public - CT","20%","513","3.82"," "," ","106","20.75%","no"," "," "," "," "
"Virginia Commonwealth University","61","51","1121","359","166","94","6188","335","203","92","7309","694","369","186","53.2","46.24","60.60","5.05%","230","97%","245","99%","5.41","Public - VA","49%","513","3.82"," "," ","184","50.00%"," "," "," "," "," "
"Hawaii","64","24","300","185","72","67","1876","121","29","10","2176","306","101","77","33.0","38.92","23.97","4.64%","233","99%","241","100%","6.45","Public - HI","13%","513","3.84"," "," ","72","13.89%"," "," "," "," "," "
"Rush","64","69","900","127","73","53","6586","382","235","102","7486","509","308","155","60.5","57.48","61.52","4.11%","232","100%","245","98%","5.80","Private-IL","66%","511","3.67"," "," ","144","70.83%"," "," "," "," "," "
"Hofstra","66","76","1257","310","142","54","2848","530","198","45","4105","840","340","99","40.5","45.81","37.36","8.28%","239","99%","249","99%","18.61","Private - NY","45%","518","3.84"," "," ","99","45.45%"," "," "," "," "," "
"Rutgers NJMS","66"," ","1465","485","229","149","4044","289","135","29","5509","774","364","178","47.0","47.22","46.71","6.61%","233","99%","244","96%","7.15","Public - NJ","16%","515","3.82"," "," ","178","16.29%"," "," "," "," "," "
"University of Vermont (Larner)","66","24","76","67","46","30","5524","563","267","94","5600","630","313","124","49.7","68.66","47.42","5.59%","229","96%","247","98%","10.19","Public - VT","76%","512","3.7"," "," ","119","78.99%","YES"," "," "," "," "
"Wayne State","66","89","1745","612","369","203","7775","572","353","88","9520","1184","722","291","61.0","60.29","61.71","7.58%","234","99%","242","97%","7.36","Public - MI","30%","513","3.86"," "," ","288","30.56%","maybe"," "," "," "," "
"Arizona- Tuscon","70","58","768","278","136","89","8795","200","80","28","9563","478","216","117","45.2","48.92","40.00","2.26%","229","98%","242","99%","2.27","Public - AZ","24%","510","3.79"," "," ","120","23.33%","no"," "," "," "," "
"Kentucky","70"," ","579","378","208","171","2198","140","58","34","2777","518","266","205","51.4","55.03","41.43","9.58%","226","93%","247","99%","6.37","Public - KY","17%","508","3.81"," "," ","166","20.48%","yes if ties to state"," "," "," "," "
"Rutgers RWJMS","70"," ","1478","422","237","134","4121","131","82","40","5599","553","319","174","57.7","56.16","62.60","5.70%","232","98%","246","97%","3.18","Public - NJ","23%","514","3.75"," "," ","174","22.99%"," "," "," "," "," "
"Saint Louis University","70","46","384","70","44","22","5527","1024","552","161","5911","1094","596","183","54.5","62.86","53.91","10.08%","237","98%","247","98%","18.53","Private-MO","88%","514","3.91"," "," ","183","87.98%"," "," "," "," "," "
"Oklahoma","74","51","434","284","174","153","2365","45","32","11","2799","329","206","164","62.6","61.27","71.11","7.36%","231","95%","244","100%","1.90","Public - OK","7%","511","3.85"," "," ","165","6.67%"," "," "," "," "," "
